National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2026 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2016 version of the NHE released in December 2017.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2017,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Hospital Expenditures,02/14/2018,Projected,Y2023,1559809,45520,1378220,585510,425269,266830,100611,136069
Hospital Expenditures,02/14/2018,Projected,Y2024,1645323,47537,1456658,612729,456787,281539,105603,141127
Hospital Expenditures,02/14/2018,Projected,Y2025,1735463,49681,1539381,641352,485955,301181,110894,146401
Hospital Expenditures,02/14/2018,Projected,Y2026,1848155,51864,1644579,670004,530522,327016,117037,151712
Physician and Clinical Expenditures,02/14/2018,Historical,Y1960,5551,3305,1837,1593,0,0,244,409
Physician and Clinical Expenditures,02/14/2018,Historical,Y1961,5814,3395,1966,1691,0,0,275,452
Physician and Clinical Expenditures,02/14/2018,Historical,Y1962,6261,3594,2174,1849,0,0,325,493
Physician and Clinical Expenditures,02/14/2018,Historical,Y1963,7074,4027,2518,2138,0,0,380,529
Physician and Clinical Expenditures,02/14/2018,Historical,Y1964,8109,4637,2892,2539,0,0,353,579
Physician and Clinical Expenditures,02/14/2018,Historical,Y1965,8587,4879,3068,2754,0,0,314,641
Physician and Clinical Expenditures,02/14/2018,Historical,Y1966,9309,4843,3791,2816,443,141,390,675
Physician and Clinical Expenditures,02/14/2018,Historical,Y1967,10448,4831,4907,2892,1226,348,441,709
Physician and Clinical Expenditures,02/14/2018,Historical,Y1968,11344,5131,5484,3161,1457,429,437,730
Physician and Clinical Expenditures,02/14/2018,Historical,Y1969,12716,5775,6207,3659,1570,519,459,733
Physician and Clinical Expenditures,02/14/2018,Historical,Y1970,14331,6462,6991,4209,1643,649,489,878
Physician and Clinical Expenditures,02/14/2018,Historical,Y1971,15917,6883,8026,4775,1855,846,550,1008
Physician and Clinical Expenditures,02/14/2018,Historical,Y1972,17706,7376,9183,5436,2027,1093,627,1147
Physician and Clinical Expenditures,02/14/2018,Historical,Y1973,19559,7805,10399,6099,2271,1353,675,1355
Physician and Clinical Expenditures,02/14/2018,Historical,Y1974,22215,8458,12126,6995,2854,1539,738,1631
Physician and Clinical Expenditures,02/14/2018,Historical,Y1975,25309,9092,13976,7944,3467,1783,781,2241
Physician and Clinical Expenditures,02/14/2018,Historical,Y1976,28672,10102,16090,9311,4100,1822,857,2480
Physician and Clinical Expenditures,02/14/2018,Historical,Y1977,33112,11387,18853,11055,4980,1897,921,2872
Physician and Clinical Expenditures,02/14/2018,Historical,Y1978,35833,11644,20779,12050,5872,1991,866,3409
Physician and Clinical Expenditures,02/14/2018,Historical,Y1979,41192,12913,24191,14216,6871,2153,951,4088
Physician and Clinical Expenditures,02/14/2018,Historical,Y1980,47717,14220,28516,16625,8315,2432,1144,4981
Physician and Clinical Expenditures,02/14/2018,Historical,Y1981,55619,16159,33526,19523,9838,2839,1325,5935
Physician and Clinical Expenditures,02/14/2018,Historical,Y1982,61635,17366,37695,21671,11757,2793,1474,6574
Physician and Clinical Expenditures,02/14/2018,Historical,Y1983,68643,18642,42483,24019,13860,3092,1512,7518
Physician and Clinical Expenditures,02/14/2018,Historical,Y1984,77413,20724,47804,27556,15401,3190,1658,8884
Physician and Clinical Expenditures,02/14/2018,Historical,Y1985,90856,24268,55755,33285,17010,3521,1939,10834
Physician and Clinical Expenditures,02/14/2018,Historical,Y1986,100667,26981,61065,35387,19460,4028,2190,12620
Physician and Clinical Expenditures,02/14/2018,Historical,Y1987,112800,27953,70113,40749,22514,4477,2373,14734
Physician and Clinical Expenditures,02/14/2018,Historical,Y1988,128416,29459,81887,49822,24426,4913,2727,17070
Physician and Clinical Expenditures,02/14/2018,Historical,Y1989,142937,29753,94140,57926,27703,5600,2911,19044
Physician and Clinical Expenditures,02/14/2018,Historical,Y1990,158392,29915,107415,66617,30460,7026,3312,21062
Physician and Clinical Expenditures,02/14/2018,Historical,Y1991,175750,30517,122118,77312,32021,9113,3672,23114
Physician and Clinical Expenditures,02/14/2018,Historical,Y1992,190156,30027,134709,86150,33700,11152,3708,25420
Physician and Clinical Expenditures,02/14/2018,Historical,Y1993,201417,28999,145663,93857,35320,12683,3803,26755
Physician and Clinical Expenditures,02/14/2018,Historical,Y1994,210478,27274,155687,99249,38798,13695,3945,27517
Physician and Clinical Expenditures,02/14/2018,Historical,Y1995,220300,25653,165762,104657,42262,14788,4056,28885
Physician and Clinical Expenditures,02/14/2018,Historical,Y1996,228418,26235,172292,108040,44649,15241,4362,29891
Physician and Clinical Expenditures,02/14/2018,Historical,Y1997,238853,27485,179896,111461,47663,16310,4462,31472
Physician and Clinical Expenditures,02/14/2018,Historical,Y1998,256454,29315,190712,118975,50240,16766,4731,36427
Physician and Clinical Expenditures,02/14/2018,Historical,Y1999,269487,30218,202017,125029,53823,17478,5687,37252
Physician and Clinical Expenditures,02/14/2018,Historical,Y2000,288164,31897,220137,135403,58729,19294,6711,36129
Physician and Clinical Expenditures,02/14/2018,Historical,Y2001,312670,33385,241402,148315,63727,21432,7928,37884
Physician and Clinical Expenditures,02/14/2018,Historical,Y2002,337663,35053,263843,162187,68041,24023,9593,38766
Physician and Clinical Expenditures,02/14/2018,Historical,Y2003,364296,37197,285701,176166,73536,25186,10814,41398
Physician and Clinical Expenditures,02/14/2018,Historical,Y2004,389392,38914,306053,185809,80551,27987,11705,44426
Physician and Clinical Expenditures,02/14/2018,Historical,Y2005,413003,41689,325570,197889,85587,30073,12022,45745
Physician and Clinical Expenditures,02/14/2018,Historical,Y2006,434722,43366,343435,206115,91356,31779,14186,47921
Physician and Clinical Expenditures,02/14/2018,Historical,Y2007,457512,45421,361229,215697,95963,33525,16043,50862
Physician and Clinical Expenditures,02/14/2018,Historical,Y2008,481878,46832,382242,224300,103803,35913,18227,52804
Physician and Clinical Expenditures,02/14/2018,Historical,Y2009,497679,45427,400878,228614,112004,40164,20096,51374
Physician and Clinical Expenditures,02/14/2018,Historical,Y2010,512573,48747,411136,231156,115756,43259,20965,52690
Physician and Clinical Expenditures,02/14/2018,Historical,Y2011,535861,51650,431568,241700,122199,45185,22484,52643
Physician and Clinical Expenditures,02/14/2018,Historical,Y2012,557115,51988,447861,249238,128129,46974,23520,57267
Physician and Clinical Expenditures,02/14/2018,Historical,Y2013,569569,53463,458393,249851,132029,52016,24497,57713
Physician and Clinical Expenditures,02/14/2018,Historical,Y2014,595718,54410,484176,257350,137905,63375,25546,57132
Physician and Clinical Expenditures,02/14/2018,Historical,Y2015,631037,56479,513868,271575,144430,69680,28184,60689
Physician and Clinical Expenditures,02/14/2018,Historical,Y2016,664882,58913,539763,287254,149964,72564,29980,66206
Physician and Clinical Expenditures,02/14/2018,Projected,Y2017," 698,294 ",61417,567167,301459,157967,75979,31762,69711
Physician and Clinical Expenditures,02/14/2018,Projected,Y2018,733875,64206,596116,314454,166392,81752,33518,73553
Physician and Clinical Expenditures,02/14/2018,Projected,Y2019,774674,67787,627802,325169,180273,87294,35066,79086
Physician and Clinical Expenditures,02/14/2018,Projected,Y2020,814215,70950,660040,336964,193271,93000,36805,83225
Physician and Clinical Expenditures,02/14/2018,Projected,Y2021,857302,73927,695930,349895,207840,99374,38821,87444
Physician and Clinical Expenditures,02/14/2018,Projected,Y2022,900732,77649,731653,361940,222772,106162,40780,91430
Physician and Clinical Expenditures,02/14/2018,Projected,Y2023,948205,81204,771175,376768,238323,113309,42773,95826
Physician and Clinical Expenditures,02/14/2018,Projected,Y2024,999917,85033,814518,392613,256273,120856,44776,100366
Physician and Clinical Expenditures,02/14/2018,Projected,Y2025,1050917,88945,856970,408328,272932,128874,46837,105002
Physician and Clinical Expenditures,02/14/2018,Projected,Y2026,1110178,92800,907672,423440,297788,137212,49231,109706
Dental Services Expenditures,02/14/2018,Historical,Y1960,1987,1907,64,38,0,0,26,16
Dental Services Expenditures,02/14/2018,Historical,Y1961,2103,2018,64,37,0,0,27,21
Dental Services Expenditures,02/14/2018,Historical,Y1962,2224,2135,66,38,0,0,28,23
Dental Services Expenditures,02/14/2018,Historical,Y1963,2371,2275,71,41,0,0,30,25
Dental Services Expenditures,02/14/2018,Historical,Y1964,2616,2516,71,43,0,0,28,30
Dental Services Expenditures,02/14/2018,Historical,Y1965,2818,2704,81,55,0,0,27,32
Dental Services Expenditures,02/14/2018,Historical,Y1966,2992,2827,146,68,0,43,35,19
Dental Services Expenditures,02/14/2018,Historical,Y1967,3446,3150,284,104,0,138,42,12
Dental Services Expenditures,02/14/2018,Historical,Y1968,3704,3322,362,113,0,201,47,20
Dental Services Expenditures,02/14/2018,Historical,Y1969,4216,3789,403,180,0,168,55,23
Dental Services Expenditures,02/14/2018,Historical,Y1970,4711,4241,449,212,0,162,76,21
Dental Services Expenditures,02/14/2018,Historical,Y1971,5226,4671,530,248,0,179,103,24
Dental Services Expenditures,02/14/2018,Historical,Y1972,5566,4933,604,292,0,183,129,29
Dental Services Expenditures,02/14/2018,Historical,Y1973,6379,5605,739,378,0,228,133,35
Dental Services Expenditures,02/14/2018,Historical,Y1974,7139,6129,965,550,0,295,120,45
Dental Services Expenditures,02/14/2018,Historical,Y1975,8023,6532,1433,939,0,364,130,58
Dental Services Expenditures,02/14/2018,Historical,Y1976,9042,6963,2009,1486,0,390,132,70
Dental Services Expenditures,02/14/2018,Historical,Y1977,10129,7584,2459,1909,0,424,126,86
Dental Services Expenditures,02/14/2018,Historical,Y1978,11039,7918,3026,2502,0,392,132,94
Dental Services Expenditures,02/14/2018,Historical,Y1979,11984,8237,3647,3070,0,440,137,101
Dental Services Expenditures,02/14/2018,Historical,Y1980,13320,8764,4443,3781,0,503,159,113
Dental Services Expenditures,02/14/2018,Historical,Y1981,15706,10019,5545,4792,0,581,173,142
Dental Services Expenditures,02/14/2018,Historical,Y1982,16971,10496,6327,5670,0,485,172,148
Dental Services Expenditures,02/14/2018,Historical,Y1983,18290,10967,7170,6505,0,501,164,153
Dental Services Expenditures,02/14/2018,Historical,Y1984,19859,11545,8153,7526,0,456,171,161
Dental Services Expenditures,02/14/2018,Historical,Y1985,21694,12227,9280,8573,1,510,195,187
Dental Services Expenditures,02/14/2018,Historical,Y1986,23164,12658,10317,9551,1,554,211,188
Dental Services Expenditures,02/14/2018,Historical,Y1987,25322,13118,12015,11199,1,591,224,189
Dental Services Expenditures,02/14/2018,Historical,Y1988,27394,13845,13364,12511,1,617,235,185
Dental Services Expenditures,02/14/2018,Historical,Y1989,29377,14485,14700,13813,2,638,247,192
Dental Services Expenditures,02/14/2018,Historical,Y1990,31598,15255,16163,15134,2,756,271,180
Dental Services Expenditures,02/14/2018,Historical,Y1991,33397,15736,17460,16197,16,945,302,201
Dental Services Expenditures,02/14/2018,Historical,Y1992,37133,17117,19792,18271,17,1196,308,224
Dental Services Expenditures,02/14/2018,Historical,Y1993,39006,17448,21320,19295,34,1675,316,238
Dental Services Expenditures,02/14/2018,Historical,Y1994,41558,18276,23026,20931,40,1741,314,256
Dental Services Expenditures,02/14/2018,Historical,Y1995,44615,19294,25056,22875,54,1807,321,264
Dental Services Expenditures,02/14/2018,Historical,Y1996,46943,20062,26591,24329,74,1872,317,290
Dental Services Expenditures,02/14/2018,Historical,Y1997,50292,22059,27921,25536,89,1974,321,312
Dental Services Expenditures,02/14/2018,Historical,Y1998,53600,23677,29616,27025,99,2129,364,307
Dental Services Expenditures,02/14/2018,Historical,Y1999,57255,25022,31927,29189,78,2180,480,307
Dental Services Expenditures,02/14/2018,Historical,Y2000,62133,27440,34347,31277,81,2400,589,346
Dental Services Expenditures,02/14/2018,Historical,Y2001,67709,29115,38262,34338,86,3090,748,333
Dental Services Expenditures,02/14/2018,Historical,Y2002,73636,32029,41291,36508,79,3709,995,317
Dental Services Expenditures,02/14/2018,Historical,Y2003,76316,33457,42574,37365,70,4035,1104,285
Dental Services Expenditures,02/14/2018,Historical,Y2004,82189,35752,46123,40492,71,4264,1297,314
Dental Services Expenditures,02/14/2018,Historical,Y2005,87201,37921,48951,42833,86,4572,1460,329
Dental Services Expenditures,02/14/2018,Historical,Y2006,91766,39821,51594,45048,103,4781,1661,351
Dental Services Expenditures,02/14/2018,Historical,Y2007,97732,42545,54805,47480,164,5211,1949,382
Dental Services Expenditures,02/14/2018,Historical,Y2008,102708,44930,57357,48863,221,6227,2046,422
Dental Services Expenditures,02/14/2018,Historical,Y2009,103097,42815,59794,49638,296,7638,2223,487
Dental Services Expenditures,02/14/2018,Historical,Y2010,105860,43652,61673,50430,242,8401,2600,535
Dental Services Expenditures,02/14/2018,Historical,Y2011,107986,45042,62438,50869,294,8459,2815,506
Dental Services Expenditures,02/14/2018,Historical,Y2012,109700,45677,63502,51569,367,8581,2984,522
Dental Services Expenditures,02/14/2018,Historical,Y2013,111056,45895,64680,52268,478,8817,3117,480
Dental Services Expenditures,02/14/2018,Historical,Y2014,113808,46325,67018,53438,408,9915,3256,465
Dental Services Expenditures,02/14/2018,Historical,Y2015,118857,47885,70511,55060,458,11492,3500,461
Dental Services Expenditures,02/14/2018,Historical,Y2016,124373,49929,73975,57729,511,12122,3613,470
Dental Services Expenditures,02/14/2018,Projected,Y2017," 129,054 ",51532,77034,59892,563,12775,3804,488
Dental Services Expenditures,02/14/2018,Projected,Y2018,134440,53431,80494,62108,605,13760,4021,515
Dental Services Expenditures,02/14/2018,Projected,Y2019,140402,56193,83657,64061,665,14702,4228,553
Dental Services Expenditures,02/14/2018,Projected,Y2020,146965,58934,87446,66658,717,15675,4396,584
Dental Services Expenditures,02/14/2018,Projected,Y2021,153744,61576,91551,69432,777,16751,4591,616
Dental Services Expenditures,02/14/2018,Projected,Y2022,161175,65015,95514,71968,846,17893,4807,646
Dental Services Expenditures,02/14/2018,Projected,Y2023,168724,68039,100009,74963,918,19093,5034,677
Dental Services Expenditures,02/14/2018,Projected,Y2024,176515,71190,104617,77998,997,20358,5264,708
Dental Services Expenditures,02/14/2018,Projected,Y2025,184338,74389,109209,80946,1066,21698,5498,740
Dental Services Expenditures,02/14/2018,Projected,Y2026,192040,77506,113758,83738,1171,23090,5760,776
Other Professional Services Expenditures,02/14/2018,Historical,Y1960,392,341,8,8,0,0,0,43
Other Professional Services Expenditures,02/14/2018,Historical,Y1961,409,343,12,12,0,0,0,54
Other Professional Services Expenditures,02/14/2018,Historical,Y1962,429,351,16,16,0,0,0,62
Other Professional Services Expenditures,02/14/2018,Historical,Y1963,451,361,20,20,0,0,0,70
Other Professional Services Expenditures,02/14/2018,Historical,Y1964,486,383,25,25,0,0,0,78
Other Professional Services Expenditures,02/14/2018,Historical,Y1965,533,395,30,30,0,0,0,108
Other Professional Services Expenditures,02/14/2018,Historical,Y1966,572,389,49,34,3,11,0,134
Other Professional Services Expenditures,02/14/2018,Historical,Y1967,608,375,75,37,10,28,0,157
Other Professional Services Expenditures,02/14/2018,Historical,Y1968,644,364,84,40,13,31,0,195
Other Professional Services Expenditures,02/14/2018,Historical,Y1969,678,348,86,42,15,29,0,243
Other Professional Services Expenditures,02/14/2018,Historical,Y1970,726,324,100,43,18,40,0,301
Other Professional Services Expenditures,02/14/2018,Historical,Y1971,793,287,128,49,22,56,0,378
Other Professional Services Expenditures,02/14/2018,Historical,Y1972,893,310,161,65,27,69,0,422
Other Professional Services Expenditures,02/14/2018,Historical,Y1973,1022,393,223,99,34,90,0,406
Other Professional Services Expenditures,02/14/2018,Historical,Y1974,1163,440,286,130,47,108,0,437
Other Professional Services Expenditures,02/14/2018,Historical,Y1975,1337,643,418,219,63,136,0,276
Other Professional Services Expenditures,02/14/2018,Historical,Y1976,1564,743,513,288,74,150,0,308
Other Professional Services Expenditures,02/14/2018,Historical,Y1977,2058,1021,690,445,87,158,0,347
Other Professional Services Expenditures,02/14/2018,Historical,Y1978,2403,1200,801,550,106,144,0,402
Other Professional Services Expenditures,02/14/2018,Historical,Y1979,2847,1394,972,672,131,169,0,480
Other Professional Services Expenditures,02/14/2018,Historical,Y1980,3478,1699,1207,859,167,181,0,572
Other Professional Services Expenditures,02/14/2018,Historical,Y1981,4273,2017,1559,1133,201,225,0,697
Other Professional Services Expenditures,02/14/2018,Historical,Y1982,4917,2243,1863,1391,259,214,0,811
Other Professional Services Expenditures,02/14/2018,Historical,Y1983,5651,2470,2241,1681,332,228,0,940
Other Professional Services Expenditures,02/14/2018,Historical,Y1984,7328,3183,2986,2366,383,238,0,1158
Other Professional Services Expenditures,02/14/2018,Historical,Y1985,8113,3301,3389,2668,465,256,0,1423
Other Professional Services Expenditures,02/14/2018,Historical,Y1986,9284,3596,4016,3150,568,298,0,1672
Other Professional Services Expenditures,02/14/2018,Historical,Y1987,11329,4274,5065,4043,680,342,0,1991
Other Professional Services Expenditures,02/14/2018,Historical,Y1988,13722,5132,6270,5115,794,362,0,2319
Other Professional Services Expenditures,02/14/2018,Historical,Y1989,14499,5199,6730,5452,913,366,0,2570
Other Professional Services Expenditures,02/14/2018,Historical,Y1990,17278,6136,8339,6761,1132,445,0,2804
Other Professional Services Expenditures,02/14/2018,Historical,Y1991,18559,6287,9197,7272,1376,549,0,3075
Other Professional Services Expenditures,02/14/2018,Historical,Y1992,20860,6867,10561,8328,1639,594,0,3431
Other Professional Services Expenditures,02/14/2018,Historical,Y1993,22956,7299,11989,9273,1882,834,0,3668
Other Professional Services Expenditures,02/14/2018,Historical,Y1994,23974,7291,12852,9694,2299,859,0,3831
Other Professional Services Expenditures,02/14/2018,Historical,Y1995,26671,7797,14793,10840,2937,1016,0,4080
Other Professional Services Expenditures,02/14/2018,Historical,Y1996,28857,8090,16458,11751,3500,1207,0,4309
Other Professional Services Expenditures,02/14/2018,Historical,Y1997,31275,9098,17581,12435,3835,1311,0,4596
Other Professional Services Expenditures,02/14/2018,Historical,Y1998,33424,9765,19076,12741,5004,1324,6,4583
Other Professional Services Expenditures,02/14/2018,Historical,Y1999,34614,10446,19583,13375,4727,1438,42,4585
Other Professional Services Expenditures,02/14/2018,Historical,Y2000,36647,10934,21136,14089,5406,1585,56,4578
Other Professional Services Expenditures,02/14/2018,Historical,Y2001,40266,11637,23885,15520,6461,1829,74,4744
Other Professional Services Expenditures,02/14/2018,Historical,Y2002,43338,12355,26027,16896,6743,2268,120,4956
Other Professional Services Expenditures,02/14/2018,Historical,Y2003,46523,13063,28535,18512,7469,2442,113,4925
Other Professional Services Expenditures,02/14/2018,Historical,Y2004,50211,13834,31126,19797,8288,2935,106,5252
Other Professional Services Expenditures,02/14/2018,Historical,Y2005,52795,14190,33175,20376,9449,3229,121,5430
Other Professional Services Expenditures,02/14/2018,Historical,Y2006,55264,14820,34883,21203,10212,3295,173,5561
Other Professional Services Expenditures,02/14/2018,Historical,Y2007,60055,16189,37773,23140,10957,3524,153,6092
Other Professional Services Expenditures,02/14/2018,Historical,Y2008,64486,17184,40881,24384,12383,3951,163,6421
Other Professional Services Expenditures,02/14/2018,Historical,Y2009,67037,17294,43353,24541,13763,4874,175,6390
Other Professional Services Expenditures,02/14/2018,Historical,Y2010,69889,17975,45279,25414,14537,5160,168,6636
Other Professional Services Expenditures,02/14/2018,Historical,Y2011,72794,18630,47429,26553,15677,4994,205,6734
Other Professional Services Expenditures,02/14/2018,Historical,Y2012,76429,19422,49992,27884,16892,4989,227,7015
Other Professional Services Expenditures,02/14/2018,Historical,Y2013,78742,19817,52007,28184,18211,5359,253,6917
Other Professional Services Expenditures,02/14/2018,Historical,Y2014,82960,20963,54939,28824,19616,6250,250,7058
Other Professional Services Expenditures,02/14/2018,Historical,Y2015,87849,21983,58714,30146,21306,6971,291,7152
Other Professional Services Expenditures,02/14/2018,Historical,Y2016,91980,22854,61776,31576,22582,7263,355,7350
Other Professional Services Expenditures,02/14/2018,Projected,Y2017," 96,492 ",23895,64961,33029,23920,7626,386,7636
Other Professional Services Expenditures,02/14/2018,Projected,Y2018,101571,25110,68447,34543,25363,8132,409,8013
Other Professional Services Expenditures,02/14/2018,Projected,Y2019,107678,26650,72422,35889,27522,8578,433,8606
Other Professional Services Expenditures,02/14/2018,Projected,Y2020,113681,28045,76568,37534,29491,9097,447,9067
Other Professional Services Expenditures,02/14/2018,Projected,Y2021,119981,29384,81073,39240,31728,9643,463,9524
Other Professional Services Expenditures,02/14/2018,Projected,Y2022,126443,30846,85634,40965,33979,10207,484,9963
Other Professional Services Expenditures,02/14/2018,Projected,Y2023,133237,32327,90487,42867,36324,10789,508,10423
Other Professional Services Expenditures,02/14/2018,Projected,Y2024,140670,33876,95897,44898,39067,11398,534,10897
Other Professional Services Expenditures,02/14/2018,Projected,Y2025,147295,35441,100482,46915,40964,12042,561,11372
Other Professional Services Expenditures,02/14/2018,Projected,Y2026,155612,36969,106806,48856,44658,12703,589,11837
Home Health Care Expenditures,02/14/2018,Historical,Y1960,57,7,3,1,0,0,2,46
Home Health Care Expenditures,02/14/2018,Historical,Y1961,61,8,3,2,0,0,2,50
Home Health Care Expenditures,02/14/2018,Historical,Y1962,65,8,3,2,0,0,2,53
Home Health Care Expenditures,02/14/2018,Historical,Y1963,69,8,4,2,0,0,2,57
Home Health Care Expenditures,02/14/2018,Historical,Y1964,75,9,4,2,0,0,2,62
Home Health Care Expenditures,02/14/2018,Historical,Y1965,89,11,4,2,0,0,2,74
Home Health Care Expenditures,02/14/2018,Historical,Y1966,108,13,15,2,9,2,2,79
Home Health Care Expenditures,02/14/2018,Historical,Y1967,164,14,57,3,48,3,2,93
Home Health Care Expenditures,02/14/2018,Historical,Y1968,238,21,80,5,67,5,3,137
Home Health Care Expenditures,02/14/2018,Historical,Y1969,272,24,94,7,75,9,3,153
Home Health Care Expenditures,02/14/2018,Historical,Y1970,220,21,83,7,59,15,3,116
Home Health Care Expenditures,02/14/2018,Historical,Y1971,194,19,82,7,52,20,3,92
Home Health Care Expenditures,02/14/2018,Historical,Y1972,220,23,96,9,61,22,4,101
Home Health Care Expenditures,02/14/2018,Historical,Y1973,276,29,120,14,79,22,5,128
Home Health Care Expenditures,02/14/2018,Historical,Y1974,423,47,197,25,128,38,6,180
Home Health Care Expenditures,02/14/2018,Historical,Y1975,623,79,330,48,189,86,7,214
Home Health Care Expenditures,02/14/2018,Historical,Y1976,896,119,498,83,272,134,8,279
Home Health Care Expenditures,02/14/2018,Historical,Y1977,1147,152,643,121,352,162,9,352
Home Health Care Expenditures,02/14/2018,Historical,Y1978,1556,229,824,190,434,191,10,503
Home Health Care Expenditures,02/14/2018,Historical,Y1979,1899,283,1043,255,538,240,11,574
Home Health Care Expenditures,02/14/2018,Historical,Y1980,2378,363,1277,349,638,277,12,739
Home Health Care Expenditures,02/14/2018,Historical,Y1981,2938,437,1700,445,830,412,13,801
Home Health Care Expenditures,02/14/2018,Historical,Y1982,3482,513,2125,549,1074,488,15,844
Home Health Care Expenditures,02/14/2018,Historical,Y1983,4237,625,2642,696,1316,615,16,970
Home Health Care Expenditures,02/14/2018,Historical,Y1984,5129,769,3230,884,1554,774,17,1130
Home Health Care Expenditures,02/14/2018,Historical,Y1985,5633,885,3547,1046,1597,886,18,1201
Home Health Care Expenditures,02/14/2018,Historical,Y1986,6368,1095,3934,1324,1570,1019,21,1340
Home Health Care Expenditures,02/14/2018,Historical,Y1987,6636,1140,4199,1405,1558,1213,23,1297
Home Health Care Expenditures,02/14/2018,Historical,Y1988,8406,1641,5162,2054,1725,1358,25,1603
Home Health Care Expenditures,02/14/2018,Historical,Y1989,10213,1954,6445,2476,2188,1754,28,1814
Home Health Care Expenditures,02/14/2018,Historical,Y1990,12534,2236,8299,2860,3263,2144,32,2000
Home Health Care Expenditures,02/14/2018,Historical,Y1991,15135,2537,10442,3270,4641,2495,35,2156
Home Health Care Expenditures,02/14/2018,Historical,Y1992,18690,3004,13316,3892,6446,2939,39,2370
Home Health Care Expenditures,02/14/2018,Historical,Y1993,22748,3632,16526,4721,8305,3456,44,2590
Home Health Care Expenditures,02/14/2018,Historical,Y1994,27307,4137,20360,5386,11084,3841,48,2809
Home Health Care Expenditures,02/14/2018,Historical,Y1995,32270,5151,24037,6706,12964,4313,53,3081
Home Health Care Expenditures,02/14/2018,Historical,Y1996,35716,5955,26507,7740,14025,4676,66,3255
Home Health Care Expenditures,02/14/2018,Historical,Y1997,36885,6339,27313,8217,13850,5169,77,3233
Home Health Care Expenditures,02/14/2018,Historical,Y1998,34072,6986,23915,8848,9422,5558,87,3170
Home Health Care Expenditures,02/14/2018,Historical,Y1999,32756,6778,22611,8406,8191,5913,101,3368
Home Health Care Expenditures,02/14/2018,Historical,Y2000,32294,6201,23178,7766,8546,6756,111,2915
Home Health Care Expenditures,02/14/2018,Historical,Y2001,34271,6310,25073,6771,9900,8281,121,2888
Home Health Care Expenditures,02/14/2018,Historical,Y2002,36464,6003,27704,6531,11338,9702,133,2757
Home Health Care Expenditures,02/14/2018,Historical,Y2003,40179,5962,31469,6659,13235,11404,172,2747
Home Health Care Expenditures,02/14/2018,Historical,Y2004,44641,6138,35687,6500,15536,13471,180,2816
Home Health Care Expenditures,02/14/2018,Historical,Y2005,49343,6475,40014,6639,18208,14907,260,2855
Home Health Care Expenditures,02/14/2018,Historical,Y2006,52052,5806,43770,5530,21060,16905,275,2477
Home Health Care Expenditures,02/14/2018,Historical,Y2007,57475,5640,49347,5263,24264,19590,230,2487
Home Health Care Expenditures,02/14/2018,Historical,Y2008,62339,5811,54135,5153,27052,21646,284,2392
Home Health Care Expenditures,02/14/2018,Historical,Y2009,67705,5773,59677,5103,30280,23979,315,2254
Home Health Care Expenditures,02/14/2018,Historical,Y2010,71595,6019,63326,5311,31721,25936,357,2250
Home Health Care Expenditures,02/14/2018,Historical,Y2011,74613,6888,65369,5752,32149,27079,389,2356
Home Health Care Expenditures,02/14/2018,Historical,Y2012,78085,7212,68333,6826,33371,27735,401,2540
Home Health Care Expenditures,02/14/2018,Historical,Y2013,80502,7403,70556,7792,33675,28661,429,2543
Home Health Care Expenditures,02/14/2018,Historical,Y2014,83957,7767,73775,8799,34347,30164,466,2415
Home Health Care Expenditures,02/14/2018,Historical,Y2015,88816,8008,78366,9377,35824,32486,680,2442
Home Health Care Expenditures,02/14/2018,Historical,Y2016,92364,8052,81712,9641,37376,33981,714,2600
Home Health Care Expenditures,02/14/2018,Projected,Y2017," 97,086 ",8276,86035,10125,39449,35709,753,2775
Home Health Care Expenditures,02/14/2018,Projected,Y2018,102817,8499,91421,10519,41816,38267,819,2897
Home Health Care Expenditures,02/14/2018,Projected,Y2019,109721,8846,97818,11041,45193,40702,882,3057
Home Health Care Expenditures,02/14/2018,Projected,Y2020,117087,9218,104638,11506,48891,43289,952,3231
Home Health Care Expenditures,02/14/2018,Projected,Y2021,124982,9582,111982,11947,52857,46145,1033,3419
Home Health Care Expenditures,02/14/2018,Projected,Y2022,133274,9961,119703,12392,57042,49153,1116,3610
Home Health Care Expenditures,02/14/2018,Projected,Y2023,142060,10372,127872,12873,61487,52307,1205,3817
Home Health Care Expenditures,02/14/2018,Projected,Y2024,151325,10801,136488,13377,66180,55630,1301,4035
Home Health Care Expenditures,02/14/2018,Projected,Y2025,160896,11238,145395,13864,70967,59159,1405,4263
Home Health Care Expenditures,02/14/2018,Projected,Y2026,172622,11678,156440,14348,77746,62821,1524,4505
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1960,1626,1626,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1961,1764,1764,0,0,0,0,0,0
